iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
11 , 4.0 , 0.5 , 0.5 , 40 , 40 , 40 , 120 , 4 , 9.141 , 9.141 , 8.155 , 8.155 , 0.742 , 0.963 , 19.863 , -0.4000062664762508 , 26.77 , 0.05 , 78.29596612605626
8 , 4.1 , 0.5 , 0.5 , 40 , 42 , 42 , 124 , 4 , 9.116 , 9.116 , 8.073 , 8.073 , 0.798 , 0.964 , 20.359 , -0.3822664590683052 , 25.513 , 0.081 , 80.18897329640255
8 , 4.2 , 0.7 , 0.7 , 24 , 32 , 40 , 96 , 3 , 12.411 , 12.411 , 7.31 , 7.31 , 0.747 , 0.954 , 20.856 , -0.3925021456412875 , 27.92 , 0.05 , 80.72161585957522
11 , 4.2991913746630726 , 0.7 , 0.7 , 21 , 34 , 53 , 108 , 3 , 14.852 , 14.852 , 6.384 , 6.384 , 0.765 , 0.955 , 21.348 , -0.37940839947242877 , 27.906 , 0.05 , 82.23643975009213
10 , 4.3999999999999995 , 0.6 , 0.6 , 30 , 36 , 36 , 102 , 3 , 12.381 , 12.381 , 10.268 , 10.268 , 0.76 , 0.956 , 21.849 , -0.38967013292751695 , 28.749 , 0.05 , 83.64881754283292
9 , 4.5 , 0.5 , 0.5 , 40 , 40 , 32 , 112 , 4 , 9.141 , 9.141 , 10.825 , 10.825 , 0.756 , 0.958 , 22.345 , -0.39211842165200383 , 29.557 , 0.05 , 80.96586642406085
7 , 4.599999999999999 , 0.6 , 0.6 , 30 , 36 , 33 , 99 , 3 , 12.381 , 12.381 , 11.474 , 11.474 , 0.766 , 0.954 , 22.842 , -0.38630329854873147 , 29.82 , 0.05 , 84.8547895008642
9 , 4.699604743083004 , 0.5 , 0.5 , 33 , 54 , 69 , 156 , 3 , 15.365 , 15.365 , 9.512 , 9.512 , 0.849 , 0.967 , 23.337 , -0.3638708151244277 , 27.488 , 0.081 , 87.87656899469769
7 , 4.800000000000001 , 0.6 , 0.6 , 24 , 40 , 50 , 114 , 3 , 16.66 , 16.66 , 9.595 , 9.595 , 0.788 , 0.957 , 23.835 , -0.3808882536509842 , 30.247 , 0.05 , 87.25530562020418
8 , 4.9 , 0.6 , 0.6 , 24 , 39 , 45 , 108 , 3 , 16.685 , 16.685 , 10.569 , 10.569 , 0.79 , 0.955 , 24.332 , -0.37925544642178877 , 30.8 , 0.05 , 88.25436038683758
16 , 5.0 , 0.8 , 0.8 , 18 , 32 , 40 , 90 , 3 , 14.108 , 14.108 , 7.432 , 7.432 , 0.765 , 0.946 , 24.828 , -0.3813101257831076 , 32.455 , 0.05 , 82.53957994576022
8 , 5.1 , 0.5 , 0.5 , 27 , 41 , 40 , 108 , 3 , 20.397 , 20.397 , 16.427 , 16.427 , 0.809 , 0.955 , 25.325 , -0.3732444231928223 , 31.304 , 0.038 , 97.82454823802654
13 , 5.2 , 0.5 , 0.5 , 30 , 48 , 48 , 126 , 3 , 17.541 , 17.541 , 13.977 , 13.977 , 0.814 , 0.96 , 25.821 , -0.37469456269752127 , 31.721 , 0.05 , 92.51827616681769
12 , 5.301075268817205 , 0.6 , 0.6 , 18 , 40 , 62 , 120 , 3 , 24.728 , 24.728 , 10.028 , 10.028 , 0.82 , 0.952 , 26.323 , -0.35617038848152605 , 32.101 , 0.038 , 95.7557512160274
7 , 5.399999999999999 , 0.7 , 0.7 , 21 , 33 , 30 , 84 , 3 , 14.881 , 14.881 , 12.382 , 12.382 , 0.785 , 0.943 , 26.814 , -0.37299928826570167 , 34.158 , 0.05 , 88.26355680746366
11 , 5.5 , 0.6 , 0.6 , 24 , 42 , 42 , 108 , 3 , 16.614 , 16.614 , 12.377 , 12.377 , 0.803 , 0.953 , 27.311 , -0.3739274972290995 , 34.011 , 0.05 , 89.99057643303797
11 , 5.6 , 0.5 , 0.5 , 30 , 46 , 38 , 114 , 3 , 17.581 , 17.581 , 17.739 , 17.739 , 0.83 , 0.956 , 27.808 , -0.3666207116211444 , 33.504 , 0.05 , 96.31933717180017
6 , 5.7 , 0.5 , 0.5 , 24 , 52 , 65 , 141 , 3 , 23.651 , 23.651 , 13.433 , 13.433 , 0.861 , 0.959 , 28.304 , -0.35855702212712787 , 32.873 , 0.05 , 98.08397850993755
8 , 5.8 , 0.5 , 0.5 , 30 , 48 , 39 , 117 , 3 , 17.541 , 17.541 , 17.936 , 17.936 , 0.834 , 0.956 , 28.801 , -0.3657472420922316 , 34.534 , 0.05 , 96.47746655013204
15 , 5.899653979238754 , 0.5 , 0.5 , 51 , 59 , 34 , 144 , 3 , 8.914 , 8.914 , 15.588 , 15.588 , 0.914 , 0.962 , 29.296 , -0.33919198009787827 , 32.053 , 0.128 , 88.50197037680638
8 , 6.0 , 0.7 , 0.7 , 21 , 35 , 28 , 84 , 3 , 14.825 , 14.825 , 14.403 , 14.403 , 0.798 , 0.941 , 29.794 , -0.367133087089395 , 37.336 , 0.05 , 90.22787471494313
8 , 6.099706744868035 , 0.5 , 0.5 , 33 , 47 , 31 , 111 , 3 , 15.472 , 15.472 , 21.427 , 21.427 , 0.84 , 0.953 , 30.289 , -0.35836555419538246 , 36.058 , 0.05 , 97.8994980537789
12 , 6.199999999999999 , 0.6 , 0.6 , 24 , 48 , 45 , 117 , 3 , 16.492 , 16.492 , 13.059 , 13.059 , 0.871 , 0.954 , 30.787 , -0.3520234514581595 , 35.347 , 0.081 , 92.55141623821898
7 , 6.3 , 0.5 , 0.5 , 24 , 53 , 55 , 132 , 3 , 23.629 , 23.629 , 16.505 , 16.505 , 0.874 , 0.957 , 31.283 , -0.35271994325278716 , 35.793 , 0.05 , 101.1341113304296
14 , 6.4 , 0.5 , 0.5 , 30 , 54 , 42 , 126 , 3 , 17.438 , 17.438 , 18.465 , 18.465 , 0.898 , 0.958 , 31.78 , -0.345248834938583 , 35.39 , 0.081 , 98.9029978541013
12 , 6.5 , 0.6 , 0.6 , 21 , 44 , 40 , 105 , 3 , 19.904 , 19.904 , 15.717 , 15.717 , 0.842 , 0.949 , 32.277 , -0.3577087965568445 , 38.334 , 0.05 , 96.62129552384789
5 , 6.6 , 0.6 , 0.6 , 24 , 42 , 30 , 96 , 3 , 16.614 , 16.614 , 18.942 , 18.942 , 0.835 , 0.946 , 32.773 , -0.35807822445421345 , 39.249 , 0.05 , 96.55587888453752
11 , 6.700757575757578 , 0.6 , 0.6 , 18 , 43 , 44 , 105 , 3 , 24.623 , 24.623 , 15.941 , 15.941 , 0.871 , 0.946 , 33.274 , -0.3390415323163245 , 38.202 , 0.05 , 101.56338880222236
10 , 6.8 , 0.5 , 0.5 , 30 , 58 , 44 , 132 , 3 , 17.38 , 17.38 , 18.775 , 18.775 , 0.905 , 0.958 , 33.766 , -0.3433325960748779 , 37.31 , 0.081 , 99.15405118073795
7 , 6.9 , 0.5 , 0.5 , 33 , 59 , 40 , 132 , 3 , 15.302 , 15.302 , 19.519 , 19.519 , 0.937 , 0.958 , 34.263 , -0.3327595697949729 , 36.567 , 0.103 , 98.820161761587
12 , 7.0 , 0.6 , 0.6 , 18 , 45 , 45 , 108 , 3 , 24.559 , 24.559 , 16.26 , 16.26 , 0.878 , 0.946 , 34.759 , -0.34439309685137665 , 39.589 , 0.05 , 101.8194626087192
7 , 7.100840336134454 , 0.6 , 0.6 , 21 , 44 , 34 , 99 , 3 , 19.904 , 19.904 , 19.268 , 19.268 , 0.86 , 0.945 , 35.26 , -0.3412501987810455 , 41.0 , 0.05 , 100.17275706712527
5 , 7.200000000000001 , 0.6 , 0.6 , 21 , 42 , 30 , 93 , 3 , 19.957 , 19.957 , 21.605 , 21.605 , 0.868 , 0.942 , 35.753 , -0.34480423019830087 , 41.19 , 0.05 , 102.56158255547965
8 , 7.300000000000001 , 0.6 , 0.6 , 24 , 49 , 35 , 108 , 3 , 16.475 , 16.475 , 18.171 , 18.171 , 0.895 , 0.949 , 36.249 , -0.34044695904472627 , 40.502 , 0.081 , 97.64572616476275
6 , 7.4 , 0.5 , 0.5 , 21 , 56 , 55 , 132 , 3 , 28.304 , 28.304 , 19.931 , 19.931 , 0.929 , 0.953 , 36.746 , -0.33229441147609107 , 39.554 , 0.05 , 109.23468462134046
6 , 7.5 , 0.5 , 0.5 , 24 , 52 , 38 , 114 , 3 , 23.651 , 23.651 , 25.065 , 25.065 , 0.912 , 0.951 , 37.242 , -0.3358078486242867 , 40.836 , 0.05 , 109.71679392302481
5 , 7.6 , 0.5 , 0.5 , 21 , 55 , 50 , 126 , 3 , 28.329 , 28.329 , 21.809 , 21.809 , 0.933 , 0.952 , 37.739 , -0.3297505096921157 , 40.449 , 0.05 , 111.13778046422073
8 , 7.699218750000001 , 0.6 , 0.6 , 24 , 49 , 32 , 105 , 3 , 16.475 , 16.475 , 20.395 , 20.395 , 0.906 , 0.947 , 38.232 , -0.32754911172593615 , 42.199 , 0.081 , 99.86920568998454
10 , 7.8 , 0.5 , 0.5 , 27 , 51 , 30 , 108 , 3 , 20.159 , 20.159 , 29.641 , 29.641 , 0.916 , 0.948 , 38.732 , -0.33292729394304277 , 42.284 , 0.05 , 110.80052146669159
9 , 7.901960784313727 , 0.7 , 0.7 , 18 , 44 , 34 , 96 , 3 , 18.067 , 18.067 , 16.485 , 16.485 , 0.901 , 0.941 , 39.238 , -0.3131430287408813 , 43.549 , 0.081 , 97.55155191452866
4 , 8.0 , 0.5 , 0.5 , 24 , 56 , 40 , 120 , 3 , 23.566 , 23.566 , 25.371 , 25.371 , 0.921 , 0.951 , 39.725 , -0.3333725889792187 , 43.132 , 0.05 , 109.93645824817241
8 , 8.098765432098766 , 0.5 , 0.5 , 27 , 69 , 54 , 150 , 3 , 19.882 , 19.882 , 19.596 , 19.596 , 0.991 , 0.959 , 40.216 , -0.3029150906739063 , 40.581 , 0.103 , 103.47797456896262
8 , 8.198198198198199 , 0.6 , 0.6 , 18 , 47 , 37 , 102 , 3 , 24.5 , 24.5 , 21.573 , 21.573 , 0.907 , 0.942 , 40.709 , -0.31391022112115996 , 44.883 , 0.05 , 107.0737701014059
7 , 8.297872340425531 , 0.5 , 0.5 , 30 , 70 , 47 , 147 , 3 , 17.238 , 17.238 , 21.02 , 21.02 , 0.975 , 0.959 , 41.204 , -0.299322637582337 , 42.261 , 0.103 , 102.25806235005047
11 , 8.4 , 0.6 , 0.6 , 27 , 54 , 30 , 111 , 3 , 13.96 , 13.96 , 21.826 , 21.826 , 0.944 , 0.948 , 41.711 , -0.3234013946489163 , 44.185 , 0.103 , 99.7859236809707
7 , 8.5 , 0.5 , 0.5 , 33 , 66 , 36 , 135 , 3 , 15.227 , 15.227 , 24.97 , 24.97 , 0.972 , 0.956 , 42.208 , -0.3197551514959589 , 43.424 , 0.103 , 104.19643086608181
8 , 8.6 , 0.5 , 0.5 , 30 , 56 , 28 , 114 , 3 , 17.408 , 17.408 , 32.217 , 32.217 , 0.973 , 0.948 , 42.704 , -0.3139756415098019 , 43.889 , 0.081 , 112.62479539988617
6 , 8.7 , 0.5 , 0.5 , 24 , 63 , 45 , 132 , 3 , 23.438 , 23.438 , 24.809 , 24.809 , 0.987 , 0.953 , 43.201 , -0.3129725219853249 , 43.77 , 0.081 , 111.24729819775754
3 , 8.8 , 0.5 , 0.5 , 21 , 56 , 40 , 117 , 3 , 28.304 , 28.304 , 28.962 , 28.962 , 0.97 , 0.948 , 43.698 , -0.3149032278370405 , 45.049 , 0.05 , 118.26557699846583
6 , 8.90625 , 0.5 , 0.5 , 24 , 66 , 48 , 138 , 3 , 23.39 , 23.39 , 24.109 , 24.109 , 0.991 , 0.954 , 44.225 , -0.24990098225106755 , 44.627 , 0.081 , 110.49944028625973
7 , 8.999999999999998 , 0.6 , 0.6 , 18 , 48 , 33 , 99 , 3 , 24.472 , 24.472 , 25.497 , 25.497 , 0.929 , 0.939 , 44.691 , -0.32281966804720524 , 48.107 , 0.05 , 110.96994125553483
6 , 9.1 , 0.5 , 0.5 , 24 , 54 , 30 , 108 , 3 , 23.607 , 23.607 , 35.308 , 35.308 , 0.971 , 0.945 , 45.187 , -0.3125854054965552 , 46.537 , 0.05 , 119.91526851933972
9 , 9.2 , 0.5 , 0.5 , 30 , 62 , 31 , 123 , 3 , 17.327 , 17.327 , 31.244 , 31.244 , 1.015 , 0.95 , 45.684 , -0.3018136691012334 , 45.009 , 0.103 , 112.5712111406906
4 , 9.306122448979592 , 0.5 , 0.5 , 21 , 55 , 35 , 111 , 3 , 28.329 , 28.329 , 33.614 , 33.614 , 0.992 , 0.945 , 46.211 , -0.24453026899359348 , 46.584 , 0.05 , 122.94229967482639
6 , 9.4 , 0.5 , 0.5 , 30 , 64 , 32 , 126 , 3 , 17.303 , 17.303 , 30.959 , 30.959 , 1.016 , 0.951 , 46.677 , -0.30213589890382586 , 45.942 , 0.103 , 112.26209565731261
5 , 9.5 , 0.5 , 0.5 , 27 , 68 , 40 , 135 , 3 , 19.894 , 19.894 , 27.519 , 27.519 , 1.024 , 0.954 , 47.174 , -0.30108833363835363 , 46.068 , 0.103 , 111.41331821848388
7 , 9.6 , 0.5 , 0.5 , 33 , 66 , 30 , 129 , 3 , 15.227 , 15.227 , 31.648 , 31.648 , 1.006 , 0.951 , 47.67 , -0.305508652508138 , 47.386 , 0.103 , 110.87440102123195
4 , 9.696969696969697 , 0.5 , 0.5 , 27 , 63 , 33 , 123 , 3 , 19.959 , 19.959 , 32.486 , 32.486 , 1.0 , 0.95 , 48.152 , -0.27605989360763755 , 48.152 , 0.081 , 115.44491492505853
7 , 9.8 , 0.5 , 0.5 , 30 , 68 , 34 , 132 , 3 , 17.259 , 17.259 , 30.442 , 30.442 , 1.017 , 0.952 , 48.663 , -0.3024929077983585 , 47.85 , 0.103 , 111.70048351977164
8 , 9.896825396825395 , 0.6 , 0.6 , 27 , 59 , 28 , 114 , 3 , 13.901 , 13.901 , 26.19 , 26.19 , 1.011 , 0.945 , 49.144 , -0.2681065584794029 , 48.609 , 0.128 , 104.0918593237257
6 , 10.0 , 0.6 , 0.6 , 21 , 54 , 30 , 105 , 3 , 19.69 , 19.69 , 27.98 , 27.98 , 0.976 , 0.941 , 49.656 , -0.30853858447044247 , 50.877 , 0.081 , 110.67036783649608
7 , 10.096153846153847 , 0.5 , 0.5 , 24 , 66 , 39 , 129 , 3 , 23.39 , 23.39 , 30.96 , 30.96 , 1.023 , 0.95 , 50.134 , -0.2608303936893815 , 49.007 , 0.081 , 117.34982730555134
3 , 10.2 , 0.5 , 0.5 , 30 , 69 , 33 , 132 , 3 , 17.248 , 17.248 , 32.117 , 32.117 , 1.027 , 0.952 , 50.649 , -0.29883845740389214 , 49.317 , 0.103 , 113.36534671248883
4 , 10.29810298102981 , 0.5 , 0.5 , 27 , 73 , 41 , 141 , 3 , 19.836 , 19.836 , 28.698 , 28.698 , 1.038 , 0.954 , 51.137 , -0.2777212848045695 , 49.265 , 0.103 , 112.53405180885593
5 , 10.4 , 0.5 , 0.5 , 24 , 72 , 45 , 141 , 3 , 23.306 , 23.306 , 28.425 , 28.425 , 1.065 , 0.953 , 51.643 , -0.2868957922335793 , 48.491 , 0.103 , 115.73010009354027
5 , 10.5 , 0.6 , 0.6 , 24 , 60 , 30 , 114 , 3 , 16.312 , 16.312 , 27.319 , 27.319 , 1.038 , 0.944 , 52.139 , -0.29026871853022346 , 50.23 , 0.128 , 107.63109623914974
5 , 10.603658536585366 , 0.5 , 0.5 , 24 , 70 , 41 , 135 , 3 , 23.332 , 23.332 , 30.908 , 30.908 , 1.072 , 0.951 , 52.654 , -0.24689503511722988 , 49.118 , 0.103 , 118.23993556711375
4 , 10.703448275862069 , 0.5 , 0.5 , 30 , 67 , 29 , 126 , 3 , 17.27 , 17.27 , 36.941 , 36.941 , 1.05 , 0.948 , 53.149 , -0.25456696128877776 , 50.618 , 0.103 , 118.21049200207477
6 , 10.799999999999999 , 0.6 , 0.6 , 18 , 63 , 45 , 126 , 3 , 24.145 , 24.145 , 22.928 , 22.928 , 1.056 , 0.945 , 53.629 , -0.28447043670297084 , 50.785 , 0.103 , 111.07315816669694
6 , 10.89 , 0.5 , 0.5 , 30 , 69 , 30 , 129 , 3 , 17.248 , 17.248 , 36.395 , 36.395 , 1.049 , 0.949 , 54.076 , -0.18997945020946966 , 51.55 , 0.103 , 117.6432902442903
3 , 11.0 , 0.5 , 0.5 , 27 , 72 , 36 , 135 , 3 , 19.847 , 19.847 , 33.293 , 33.293 , 1.058 , 0.951 , 54.622 , -0.2881963534967488 , 51.628 , 0.103 , 117.1403407825703
